"行識別子","出典ID","団体コード","自治体・運営団体名","事業キー","会計区分","決算年度","表番号","行番号","シート名","Excel行番号"
"012203:17-1-000:non_legal_applied:2020","non_legal_applied:26","012203","士別市","17-1-000","non_legal_applied","2020","26","2","2020470002600","6096"
"012203:17-1-000:non_legal_applied:2020","non_legal_applied:32","012203","士別市","17-1-000","non_legal_applied","2020","32","1","2020470003200","8"
"012203:17-1-000:non_legal_applied:2020","non_legal_applied:32","012203","士別市","17-1-000","non_legal_applied","2020","32","2","2020470003200","1522"
"012203:17-1-000:non_legal_applied:2020","non_legal_applied:33","012203","士別市","17-1-000","non_legal_applied","2020","33","1","2020470003300","8"
"012203:17-1-000:non_legal_applied:2020","non_legal_applied:33","012203","士別市","17-1-000","non_legal_applied","2020","33","2","2020470003300","1522"
"012211:17-1-000:legal_applied:2020","legal_applied:10","012211","名寄市","17-1-000","legal_applied","2020","10","1","2020460001000","16"
"012211:17-1-000:legal_applied:2020","legal_applied:10","012211","名寄市","17-1-000","legal_applied","2020","10","2","2020460001000","2108"
"012211:17-1-000:legal_applied:2020","legal_applied:20","012211","名寄市","17-1-000","legal_applied","2020","20","1","2020460002000","2879"
"012211:17-1-000:legal_applied:2020","legal_applied:20","012211","名寄市","17-1-000","legal_applied","2020","20","2","2020460002000","7834"
"012211:17-1-000:legal_applied:2020","legal_applied:21","012211","名寄市","17-1-000","legal_applied","2020","21","1","2020460002100","2879"
"012211:17-1-000:legal_applied:2020","legal_applied:21","012211","名寄市","17-1-000","legal_applied","2020","21","2","2020460002100","7834"
"012211:17-1-000:legal_applied:2020","legal_applied:32","012211","名寄市","17-1-000","legal_applied","2020","32","1","2020460003200","16"
"012211:17-1-000:legal_applied:2020","legal_applied:32","012211","名寄市","17-1-000","legal_applied","2020","32","2","2020460003200","2108"
"012211:17-1-000:legal_applied:2020","legal_applied:33","012211","名寄市","17-1-000","legal_applied","2020","33","1","2020460003300","16"
"012211:17-1-000:legal_applied:2020","legal_applied:33","012211","名寄市","17-1-000","legal_applied","2020","33","2","2020460003300","2108"
"012220:17-1-000:legal_applied:2020","legal_applied:10","012220","三笠市","17-1-000","legal_applied","2020","10","1","2020460001000","17"
